date,open,high,low,close,volume,daily_return,ma_5,ma_10,ma_20,ma_50,ma_200,std_5,std_10,std_20,momentum_3,momentum_7,rolling_return_3,rolling_return_7,rsi_14,macd,macd_signal,bollinger_width,volume_change,volume_ma_5,price_gap,close_to_ma50,close_to_ma200,ma_gap_5_20,close_to_range,rolling_max_10,rolling_min_10,volatility_regime,rsi_volatility_interaction,weekday,month,day,target
2001-08-06,20.4334,20.6146,20.1723,20.3105,8547916,-0.011361036609407127,20.46282,20.41766,20.902,21.283939999999998,19.2370515,0.010758115717628827,0.012335587639370487,0.02603907086610999,-0.10439999999999827,-0.14119999999999777,-0.00511391189768251,-0.006904071544174717,32.18618116577302,-0.2581150190662562,-0.2138092610407176,0.10415628346443996,-0.3566489419751553,14742283.0,-0.11050000000000182,0.954264107115506,1.0558010930105375,-0.43918000000000035,0.3124576079584024,20.7251,20.1078,0,0.39703545854704886,0,8,6,1
2001-08-07,20.2828,20.593,20.2674,20.378,9627814,0.0033234041505625367,20.472640000000002,20.41858,20.930715,21.25593,19.243923499999998,0.010523223696208612,0.011867337824263599,0.02565202631047194,-0.3379000000000012,0.2701999999999991,-0.016311142648883337,0.013437571489670619,35.87664814209438,-0.25726755562475034,-0.22250091995752413,0.10260810524188776,0.12633465279724332,13041777.0,-0.027699999999999392,0.958697172977141,1.0589316674429725,-0.45807499999999735,0.33968058968059306,20.7251,20.1078,0,0.425760303504473,1,8,7,0
2001-08-08,20.4272,20.6514,19.8068,19.9204,16891000,-0.022455589361075612,20.37374,20.33811,20.90553,21.222268,19.2434205,0.014274093169407892,0.012086996894173339,0.025201964120223633,-0.6234999999999999,-0.2886999999999986,-0.030349641499423208,-0.014285643596201658,23.28399295997113,-0.29017546824892904,-0.23603582961580513,0.10080785648089453,0.754396169265422,12999844.0,0.04919999999999902,0.9386555668790914,1.0351797904120008,-0.5317899999999973,0.13450153919015123,20.7159,19.9204,0,0.2814335505911249,2,8,8,1
2001-08-09,19.9573,20.1324,19.7484,19.9665,13985518,0.002314210558020946,20.22386,20.28959,20.80433,21.196591999999995,19.247850999999997,0.01063577937640705,0.011750507613119202,0.01743096313344749,-0.3440000000000012,-0.36240000000000094,-0.016937052263607533,-0.017826837654767447,31.36730002618792,-0.30897368505420886,-0.2506234007034859,0.06972385253378996,-0.17201361671896276,12467759.6,0.03689999999999927,0.9419674634488414,1.0373365837048512,-0.5804700000000018,0.5679687499999988,20.7159,19.9204,0,0.36858169776071525,3,8,9,1
2001-08-10,19.8928,20.2275,19.3184,20.1231,15895898,0.007843137254901933,20.1397,20.29112,20.714955,21.174109999999995,19.254024,0.012535275024126345,0.010933213557746653,0.017654367969029878,-0.25489999999999924,-0.2917999999999985,-0.012508587692609652,-0.014293481721683654,41.83099545978181,-0.3076882573654238,-0.2620363720358735,0.07061747187611951,0.13659701413991243,12989629.2,-0.07369999999999877,0.9503634391244782,1.0451373697259336,-0.5752549999999985,0.8851611483885179,20.7159,19.9204,0,0.4573472066949252,4,8,10,1
2001-08-13,20.0371,20.2674,19.8866,20.2183,10035562,0.004730881424830136,20.12126,20.29204,20.632794999999998,21.146406,19.261057,0.012257119235401582,0.01091832440773179,0.01776144096212474,0.2978999999999985,-0.49760000000000204,0.014954518985562437,-0.024020197046712988,47.32215935375963,-0.2955804350181914,-0.2687451846323371,0.07104576384849896,-0.36866970334107574,13287158.4,-0.08600000000000207,0.9561104615129399,1.0496983628676244,-0.5115349999999985,0.8710609243697489,20.7159,19.9204,0,0.516678687498727,0,8,13,0
2001-08-14,20.1938,20.2982,19.7945,19.8682,11204449,-0.01731599590470012,20.0193,20.24597,20.523305,21.108998,19.2614445,0.01387004450103981,0.01196377257736708,0.01774258798216199,-0.09829999999999828,-0.6756999999999991,-0.004923246437783191,-0.03289054171797945,34.71949784229108,-0.31065401654080915,-0.2771269510140315,0.07097035192864797,0.11647449340654759,13602485.4,-0.024499999999999744,0.9412194742734828,1.0315010382528684,-0.5040049999999994,0.14631725233274176,20.7159,19.8682,0,0.4153761761855575,1,8,14,0
2001-08-15,19.8744,19.9788,19.4106,19.4106,12132546,-0.023031779426420207,19.917340000000003,20.14554,20.410130000000002,21.051257999999997,19.2545535,0.014052762111278405,0.013354639579159364,0.01799148602656436,-0.7125000000000021,-0.8999000000000024,-0.035407069487305765,-0.04430713177912915,32.57923094943273,-0.35542728962501613,-0.2927870187362285,0.07196594410625744,0.08283289968118912,12650794.6,0.006199999999999761,0.9220636600434996,1.0081043946305999,-0.4927899999999994,0.0,20.7159,19.4106,0,0.435083887095868,2,8,15,1
2001-08-16,19.3,19.8743,19.257,19.8467,13484699,0.02246710560209375,19.89338,20.05862,20.288045,21.003714,19.2477315,0.018797216175791616,0.014768621483511551,0.017452367002353662,-0.3716000000000008,-0.5313000000000017,-0.018379388969399058,-0.026072234762979818,45.76177645034571,-0.3516670074018151,-0.3045630164693458,0.06980946800941465,0.1114484132184621,12550630.8,-0.11059999999999803,0.9449138376193849,1.0311189139353902,-0.3946649999999998,0.9552891624817703,20.5439,19.4106,0,0.6758383548082286,3,8,16,0
2001-08-17,19.5887,19.6962,18.8885,19.0052,16042686,-0.042399995969103155,19.6698,19.90475,20.175945,20.931232,19.236990000000002,0.025189594094230015,0.019121241910719813,0.016936915322307372,-0.8630000000000031,-0.9152000000000022,-0.043436244853585326,-0.04594285255316166,34.24420887318412,-0.41184152124515805,-0.3260187174245083,0.06774766128922949,0.18969552082697572,12579988.4,-0.2579999999999991,0.907982865031547,0.9879508176695001,-0.5061450000000001,0.14448433824439513,20.378,19.0052,1,0.6547918019053715,4,8,17,1
